#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 157000      5.84e-01    9.00e-01      3.59e-02    4.69e-03      2.14e-01    7.72e-01    3.5e-07
 158000      8.81e-01    1.03e+00      3.67e-03    2.80e-02      7.56e-01    8.08e-01    3.5e-07
 159000      8.48e-01    9.28e-01      2.20e-03    5.49e-03      7.28e-01    7.95e-01    3.5e-07
 160000      9.20e-01    9.98e-01      1.07e-02    2.86e-02      8.04e-01    8.03e-01    2.7e-07
 161000      8.49e-01    7.38e-01      6.37e-03    1.30e-02      7.48e-01    6.32e-01    2.7e-07
 162000      9.33e-01    9.81e-01      1.31e-04    3.25e-03      8.27e-01    8.69e-01    2.7e-07
 163000      7.87e-01    7.51e-01      3.78e-03    4.24e-03      6.96e-01    6.63e-01    2.7e-07
 164000      9.56e-01    8.89e-01      1.05e-02    1.08e-02      8.36e-01    7.76e-01    2.7e-07
 165000      8.71e-01    8.94e-01      3.54e-03    8.20e-03      7.90e-01    8.05e-01    2.1e-07
 166000      9.39e-01    8.43e-01      3.99e-03    7.98e-04      8.52e-01    7.66e-01    2.1e-07
 167000      8.84e-01    9.52e-01      2.09e-03    1.70e-02      8.03e-01    8.35e-01    2.1e-07
 168000      8.98e-01    8.46e-01      6.89e-03    1.37e-02      8.11e-01    7.46e-01    2.1e-07
 169000      7.85e-01    5.97e-01      7.67e-03    1.28e-02      7.06e-01    5.15e-01    2.1e-07
 170000      8.91e-01    8.76e-01      1.17e-02    1.18e-02      8.10e-01    7.96e-01    1.6e-07
 171000      7.65e-01    7.29e-01      8.92e-03    5.57e-03      6.98e-01    6.71e-01    1.6e-07
 172000      7.10e-01    9.30e-01      3.30e-03    1.08e-02      6.56e-01    8.50e-01    1.6e-07
 173000      7.32e-01    7.30e-01      6.88e-03    4.88e-04      6.72e-01    6.77e-01    1.6e-07
 174000      8.24e-01    8.42e-01      7.78e-03    1.47e-02      7.56e-01    7.55e-01    1.6e-07
 175000      7.96e-01    7.51e-01      1.70e-03    4.27e-03      7.49e-01    7.05e-01    1.3e-07
 176000      8.28e-01    8.24e-01      1.31e-03    5.77e-03      7.80e-01    7.73e-01    1.3e-07
 177000      8.89e-01    8.88e-01      1.35e-02    1.57e-02      8.16e-01    8.08e-01    1.3e-07
 178000      8.68e-01    8.74e-01      6.02e-03    6.81e-03      8.13e-01    8.18e-01    1.3e-07
 179000      8.77e-01    8.20e-01      9.59e-03    2.64e-03      8.15e-01    7.72e-01    1.3e-07
 180000      7.01e-01    9.05e-01      3.43e-03    8.06e-03      6.67e-01    8.57e-01    9.8e-08
 181000      7.19e-01    9.34e-01      4.82e-03    2.00e-02      6.83e-01    8.46e-01    9.8e-08
 182000      7.89e-01    8.45e-01      1.08e-02    6.99e-03      7.37e-01    8.01e-01    9.8e-08
 183000      8.38e-01    7.73e-01      4.56e-03    2.80e-03      7.98e-01    7.37e-01    9.8e-08
 184000      8.37e-01    5.74e-01      2.86e-03    1.48e-02      7.97e-01    5.07e-01    9.8e-08
 185000      8.95e-01    8.34e-01      8.31e-03    9.98e-03      8.54e-01    7.92e-01    7.6e-08
 186000      8.35e-01    8.88e-01      1.10e-02    1.71e-02      7.90e-01    8.21e-01    7.6e-08
 187000      7.58e-01    7.47e-01      3.85e-03    1.35e-03      7.29e-01    7.20e-01    7.6e-08
 188000      7.60e-01    8.76e-01      1.56e-02    1.48e-02      6.99e-01    8.18e-01    7.6e-08
 189000      7.99e-01    9.25e-01      4.65e-03    2.77e-02      7.67e-01    8.01e-01    7.6e-08
 190000      9.38e-01    7.21e-01      2.99e-02    2.07e-03      8.05e-01    7.00e-01    5.9e-08
 191000      8.43e-01    8.58e-01      1.31e-02    9.01e-03      7.97e-01    8.24e-01    5.9e-08
 192000      8.98e-01    8.79e-01      8.43e-03    8.31e-03      8.64e-01    8.46e-01    5.9e-08
 193000      5.26e-01    7.91e-01      3.25e-02    2.11e-03      2.14e-01    7.68e-01    5.9e-08
 194000      8.86e-01    7.50e-01      1.03e-02    3.52e-03      8.49e-01    7.27e-01    5.9e-08
 195000      7.04e-01    7.03e-01      4.51e-03    8.90e-03      6.86e-01    6.75e-01    4.5e-08
 196000      8.65e-01    7.73e-01      1.52e-02    3.68e-04      8.18e-01    7.56e-01    4.5e-08
 197000      8.82e-01    6.27e-01      6.92e-03    1.77e-03      8.57e-01    6.13e-01    4.5e-08
 198000      7.91e-01    6.79e-01      8.41e-03    9.07e-04      7.64e-01    6.64e-01    4.5e-08
 199000      7.60e-01    8.24e-01      8.80e-03    3.94e-04      7.33e-01    8.06e-01    4.5e-08
 200000      7.68e-01    7.20e-01      6.80e-03    3.50e-03      7.48e-01    7.06e-01    3.5e-08
